GPS Date & Time,# of Sats,HDOP,Latitude,Longitude,Altitude(m),Speed(m/s),Heading(Deg),Marker,Value
2021/06/25-16:45:52:10,5,2.14,40.061135,-105.2084175,1589.0,0.17748333333333333,304.35,,
2021/06/25-16:45:52:20,5,2.14,40.061136499999996,-105.20841733333333,1589.3,0.10906222222222223,304.35,,
2021/06/25-16:45:52:30,5,2.14,40.061137333333335,-105.20841716666668,1589.5,0.06945000000000001,304.35,,
2021/06/25-16:45:52:40,6,2.14,40.06113583333333,-105.20841583333335,1589.5,0.1815988888888889,304.35,,
2021/06/25-16:45:52:50,6,1.64,40.061135,-105.20841516666665,1589.4,0.21503777777777777,304.35,,
2021/06/25-16:45:52:60,6,1.64,40.061134833333334,-105.20841466666667,1589.5,0.2278988888888889,304.35,,
2021/06/25-16:45:52:70,6,1.64,40.061135,-105.20841433333332,1589.6,0.16822333333333336,304.35,,
2021/06/25-16:45:52:80,6,1.64,40.061135,-105.20841366666667,1589.7,0.16822333333333336,304.35,,
2021/06/25-16:45:52:90,6,1.64,40.06113416666667,-105.20841283333333,1589.6,0.18725777777777777,304.35,,
2021/06/25-16:45:53:00,6,1.64,40.0611335,-105.20841166666666,1589.7,0.21092222222222223,304.35,,
2021/06/25-16:45:53:10,6,1.64,40.061132,-105.20841016666667,1589.7,0.3014644444444444,304.35,,
2021/06/25-16:45:53:20,6,1.64,40.061131,-105.20840916666666,1589.7,0.3158688888888889,304.35,,
2021/06/25-16:45:53:30,6,1.64,40.06113033333334,-105.20840833333332,1589.6,0.31638333333333335,304.35,WP,True
2021/06/25-16:45:53:40,6,1.64,40.06112966666667,-105.20840733333334,1589.6,0.35599555555555557,234.43,,
2021/06/25-16:45:53:50,6,1.64,40.06112816666667,-105.20840600000001,1589.6,0.41207000000000005,194.11,,
2021/06/25-16:45:53:60,6,1.64,40.0611275,-105.20840516666667,1589.7,0.42441666666666666,182.3,,
2021/06/25-16:45:53:70,6,1.64,40.06112783333333,-105.20840433333333,1589.8,0.3801744444444445,172.47,,
2021/06/25-16:45:53:80,6,1.64,40.061128333333336,-105.20840383333334,1590.0,0.3390188888888889,172.47,,
2021/06/25-16:45:53:90,6,1.64,40.06112866666667,-105.20840316666666,1590.1,0.3076377777777778,172.47,,
2021/06/25-16:45:54:00,6,1.64,40.061128833333335,-105.2084025,1590.2,0.2793433333333334,172.47,,
2021/06/25-16:45:54:10,6,1.64,40.061128000000004,-105.20840183333333,1590.2,0.31484,172.47,,
2021/06/25-16:45:54:20,6,1.64,40.06112633333333,-105.20840083333333,1590.1,0.4012666666666667,170.51,,
2021/06/25-16:45:54:30,6,1.64,40.06112566666666,-105.20840016666668,1590.1,0.40281000000000006,166.35,,
2021/06/25-16:45:54:40,6,1.64,40.06112483333333,-105.20839966666666,1590.0,0.4012666666666667,166.91,,
2021/06/25-16:45:54:50,6,1.64,40.06112366666667,-105.20839833333334,1590.0,0.5036411111111111,163.33,,
2021/06/25-16:45:54:60,6,1.64,40.06112316666667,-105.20839783333334,1590.0,0.49592444444444445,164.44,,
2021/06/25-16:45:54:70,6,1.64,40.06112366666667,-105.20839749999999,1590.0,0.4022955555555556,162.4,,
2021/06/25-16:45:54:80,6,1.64,40.061124,-105.20839733333332,1590.1,0.3390188888888889,162.4,,
2021/06/25-16:45:54:90,6,1.64,40.061122999999995,-105.20839666666667,1590.1,0.41824333333333336,162.53,,
2021/06/25-16:45:55:00,6,1.64,40.06112383333333,-105.20839666666667,1590.1,0.3050655555555556,162.53,,
2021/06/25-16:45:55:10,6,1.64,40.06112516666667,-105.20839666666667,1590.3,0.2232688888888889,162.53,,
2021/06/25-16:45:55:20,6,1.64,40.06112566666666,-105.20839633333331,1590.4,0.2021766666666667,162.53,,
2021/06/25-16:45:55:30,6,1.64,40.061124666666664,-105.20839566666668,1590.4,0.2633955555555556,162.53,,
2021/06/25-16:45:55:40,6,1.64,40.06112483333333,-105.20839516666668,1590.5,0.2654533333333334,162.53,,
2021/06/25-16:45:55:50,6,1.64,40.06112633333333,-105.20839550000001,1590.6,0.16822333333333336,162.53,,
2021/06/25-16:45:55:60,6,1.64,40.06112683333333,-105.20839533333334,1590.7,0.11883666666666669,162.53,,
2021/06/25-16:45:55:70,6,1.64,40.061127166666665,-105.20839499999998,1590.7,0.10546111111111112,162.53,,
2021/06/25-16:45:55:80,6,1.64,40.061126666666674,-105.2083945,1590.7,0.11626444444444446,162.53,,
2021/06/25-16:45:55:90,6,1.64,40.061125833333335,-105.20839400000001,1590.7,0.14404444444444447,162.53,,
2021/06/25-16:45:56:00,6,1.64,40.0611265,-105.20839383333332,1590.8,0.10031666666666668,162.53,,
2021/06/25-16:45:56:10,6,1.64,40.06112766666667,-105.20839383333332,1591.0,0.030866666666666667,162.53,,
2021/06/25-16:45:56:20,6,1.64,40.0611285,-105.2083935,1591.2,0.03858333333333334,162.53,,
2021/06/25-16:45:56:30,6,1.64,40.0611285,-105.20839316666667,1591.2,0.07613777777777778,162.53,,
2021/06/25-16:45:56:40,6,1.64,40.06112916666667,-105.20839333333333,1591.3,0.040641111111111114,162.53,,
2021/06/25-16:45:56:50,6,1.64,40.061128833333335,-105.20839283333335,1591.4,0.11626444444444446,162.53,,
2021/06/25-16:45:56:60,6,1.64,40.061128000000004,-105.20839249999999,1591.4,0.20526333333333335,162.53,,
2021/06/25-16:45:56:70,6,1.64,40.061128000000004,-105.20839216666667,1591.5,0.24539,162.53,,
2021/06/25-16:45:56:80,6,1.64,40.061128333333336,-105.208392,1591.6,0.23304333333333335,162.53,,
2021/06/25-16:45:56:90,6,1.64,40.061128000000004,-105.20839183333334,1591.6,0.2623666666666667,162.53,,
2021/06/25-16:45:57:00,6,1.64,40.0611285,-105.20839183333334,1591.6,0.21503777777777777,162.53,,
2021/06/25-16:45:57:10,6,1.64,40.06112866666667,-105.20839166666669,1591.6,0.22532666666666668,162.53,,
2021/06/25-16:45:57:20,6,1.64,40.06112916666667,-105.20839149999999,1591.8,0.21812444444444445,162.53,,
2021/06/25-16:45:57:30,6,1.64,40.06113033333334,-105.20839183333334,1591.9,0.15690555555555558,162.53,,
2021/06/25-16:45:57:40,6,1.64,40.06113066666667,-105.20839166666669,1592.0,0.20989333333333335,162.53,,
2021/06/25-16:45:57:50,6,1.64,40.0611315,-105.208392,1592.1,0.18005555555555555,162.53,,
2021/06/25-16:45:57:60,6,1.64,40.061131833333334,-105.20839183333334,1592.2,0.2001188888888889,162.53,,
2021/06/25-16:45:57:70,6,1.64,40.06113216666667,-105.20839166666669,1592.2,0.20269111111111113,162.53,,
2021/06/25-16:45:57:80,6,1.64,40.061133000000005,-105.208392,1592.3,0.17542555555555558,162.53,,
2021/06/25-16:45:57:90,6,1.64,40.06113333333334,-105.208392,1592.4,0.21761,162.53,,
2021/06/25-16:45:58:00,6,1.64,40.0611345,-105.20839216666667,1592.5,0.15330444444444444,162.53,,
2021/06/25-16:45:58:10,6,1.64,40.061135166666666,-105.20839249999999,1592.6,0.18005555555555555,162.53,,
2021/06/25-16:45:58:20,6,1.64,40.061136166666664,-105.20839283333335,1592.8,0.17131000000000002,162.53,,
2021/06/25-16:45:58:30,6,1.64,40.06113683333333,-105.20839300000002,1592.8,0.17028111111111113,162.53,,
2021/06/25-16:45:58:40,6,1.64,40.06113716666667,-105.20839300000002,1592.9,0.18674333333333334,162.53,,
2021/06/25-16:45:58:50,6,1.64,40.06113766666667,-105.20839316666667,1592.9,0.18880111111111111,162.53,,
2021/06/25-16:45:58:60,6,1.64,40.06113833333333,-105.2083935,1593.0,0.16513666666666668,162.53,,
2021/06/25-16:45:58:70,6,1.64,40.061139000000004,-105.20839383333332,1593.0,0.15742,162.53,,
2021/06/25-16:45:58:80,6,1.64,40.06114,-105.20839416666668,1593.2,0.1409577777777778,162.53,,
2021/06/25-16:45:58:90,6,1.64,40.06114,-105.20839400000001,1593.2,0.16205,162.53,WP,False
2021/06/25-16:45:59:00,6,1.64,40.0611405,-105.20839416666668,1593.2,0.13375555555555557,162.53,,
2021/06/25-16:45:59:10,5,1.64,40.061141166666665,-105.2083945,1593.4,0.11626444444444446,162.53,,
2021/06/25-16:45:59:20,5,2.14,40.06114183333333,-105.20839483333333,1593.4,0.06327666666666668,162.53,,
2021/06/25-16:45:59:30,5,2.14,40.061142499999995,-105.20839499999998,1593.5,0.06070444444444444,162.53,,
2021/06/25-16:45:59:40,5,2.14,40.06114283333333,-105.20839516666668,1593.5,0.07819555555555556,162.53,,
2021/06/25-16:45:59:50,5,2.14,40.06114316666667,-105.20839516666668,1593.6,0.10031666666666668,162.53,,
2021/06/25-16:45:59:60,5,2.14,40.061143666666666,-105.20839550000001,1593.6,0.05761777777777778,162.53,,
2021/06/25-16:45:59:70,5,2.14,40.06114466666667,-105.20839566666668,1593.7,0.041670000000000006,162.53,,
2021/06/25-16:45:59:80,5,2.14,40.061145,-105.20839583333333,1593.8,0.040641111111111114,162.53,,
2021/06/25-16:45:59:90,5,2.14,40.061145,-105.208396,1593.7,0.037554444444444446,162.53,,
2021/06/25-16:46:00:00,5,2.14,40.061145,-105.20839583333333,1593.7,0.054531111111111114,162.53,,
2021/06/25-16:46:00:10,5,2.14,40.061145499999995,-105.20839583333333,1593.8,0.08076777777777779,162.53,,
2021/06/25-16:46:00:20,5,2.14,40.06114633333333,-105.20839616666666,1593.9,0.02623666666666667,162.53,,
2021/06/25-16:46:00:30,5,2.14,40.061147166666665,-105.2083965,1594.0,0.08848444444444445,162.53,,
2021/06/25-16:46:00:40,5,2.14,40.06114733333333,-105.2083965,1593.9,0.12038000000000001,162.53,,
2021/06/25-16:46:00:50,5,2.14,40.061147,-105.2083965,1593.9,0.0797388888888889,162.53,,
2021/06/25-16:46:00:60,5,2.14,40.0611475,-105.2083965,1594.0,0.09723000000000001,162.53,,
2021/06/25-16:46:00:70,5,2.14,40.06114816666666,-105.2083965,1594.1,0.09723000000000001,162.53,,
2021/06/25-16:46:00:80,5,2.14,40.06114883333333,-105.20839683333334,1594.2,0.09054222222222222,162.53,,
2021/06/25-16:46:00:90,5,2.14,40.061149166666674,-105.20839683333334,1594.2,0.08797,162.53,,
2021/06/25-16:46:01:00,5,2.14,40.061149500000006,-105.20839683333334,1594.3,0.06276222222222222,162.53,,
2021/06/25-16:46:01:10,5,2.14,40.06115016666667,-105.208397,1594.4,0.03961222222222222,162.53,,
2021/06/25-16:46:01:20,5,2.14,40.06115033333333,-105.208397,1594.3,0.06482,162.53,,
2021/06/25-16:46:01:30,5,2.14,40.06115066666667,-105.20839733333332,1594.4,0.06790666666666667,162.53,,
2021/06/25-16:46:01:40,5,2.14,40.06115116666667,-105.20839749999999,1594.3,0.07253666666666667,162.53,,
2021/06/25-16:46:01:50,5,2.14,40.061151333333335,-105.20839766666668,1594.3,0.0715077777777778,162.53,,
2021/06/25-16:46:01:60,5,2.14,40.061152,-105.20839783333334,1594.4,0.06842111111111111,162.53,,
2021/06/25-16:46:01:70,5,2.14,40.06115216666667,-105.20839783333334,1594.4,0.0463,162.53,,
2021/06/25-16:46:01:80,5,2.14,40.06115283333334,-105.20839833333334,1594.5,0.06945000000000001,162.53,,
2021/06/25-16:46:01:90,5,2.14,40.06115333333333,-105.20839866666665,1594.5,0.06430555555555556,162.53,,
2021/06/25-16:46:02:00,5,2.14,40.0611535,-105.20839866666665,1594.5,0.022121111111111112,162.53,,
2021/06/25-16:46:02:10,5,2.14,40.06115333333333,-105.20839849999999,1594.4,0.022121111111111112,162.53,,
2021/06/25-16:46:02:20,5,2.14,40.06115316666667,-105.20839849999999,1594.4,0.05144444444444445,162.53,LO,2
2021/06/25-16:46:02:30,5,2.14,40.06115333333333,-105.20839849999999,1594.4,0.04372777777777778,162.53,,
2021/06/25-16:46:02:40,5,2.14,40.06115333333333,-105.20839849999999,1594.4,0.055560000000000005,162.53,,
2021/06/25-16:46:02:50,5,2.14,40.06115333333333,-105.20839833333334,1594.4,0.054531111111111114,162.53,,
2021/06/25-16:46:02:60,5,2.14,40.06115333333333,-105.208398,1594.4,0.06996444444444445,162.53,,
2021/06/25-16:46:02:70,5,2.14,40.06115333333333,-105.208398,1594.4,0.0797388888888889,162.53,,
2021/06/25-16:46:02:80,5,2.14,40.061153833333336,-105.20839816666667,1594.5,0.0853977777777778,162.53,,
2021/06/25-16:46:02:90,5,2.14,40.06115416666667,-105.20839783333334,1594.6,0.07613777777777778,162.53,,
2021/06/25-16:46:03:00,5,2.14,40.06115483333333,-105.20839783333334,1594.7,0.05298777777777778,162.53,,
2021/06/25-16:46:03:10,5,2.14,40.06115533333333,-105.208398,1594.8,0.024178888888888892,162.53,,
2021/06/25-16:46:03:20,5,2.14,40.061155666666664,-105.208398,1594.9,0.02315,162.53,,
2021/06/25-16:46:03:30,5,2.14,40.061155666666664,-105.20839783333334,1594.8,0.014404444444444445,162.53,,
2021/06/25-16:46:03:40,5,2.14,40.061156,-105.20839766666668,1594.9,0.03549666666666667,162.53,,
2021/06/25-16:46:03:50,5,2.14,40.061155500000005,-105.20839749999999,1594.8,0.044242222222222224,162.53,,
2021/06/25-16:46:03:60,5,2.14,40.06115533333333,-105.20839733333332,1594.7,0.03343888888888889,162.53,,
2021/06/25-16:46:03:70,5,2.14,40.061155,-105.20839716666666,1594.7,0.06945000000000001,162.53,,
2021/06/25-16:46:03:80,5,2.14,40.061154333333334,-105.20839683333334,1594.7,0.1306688888888889,162.53,,
2021/06/25-16:46:03:90,5,2.14,40.061155,-105.208397,1594.7,0.09054222222222222,162.53,,
2021/06/25-16:46:04:00,5,2.14,40.06115466666667,-105.20839683333334,1594.7,0.13478444444444446,162.53,,
2021/06/25-16:46:04:10,5,2.14,40.06115483333333,-105.20839683333334,1594.7,0.10597555555555556,162.53,,
2021/06/25-16:46:04:20,5,2.14,40.06115583333334,-105.20839733333332,1594.8,0.04938666666666667,162.53,,
2021/06/25-16:46:04:30,5,2.14,40.06115616666667,-105.20839733333332,1594.9,0.05864666666666667,162.53,,
2021/06/25-16:46:04:40,5,2.14,40.0611565,-105.20839733333332,1594.9,0.08385444444444445,162.53,,
2021/06/25-16:46:04:50,5,2.14,40.061157,-105.20839766666668,1594.9,0.0426988888888889,162.53,,
2021/06/25-16:46:04:60,5,2.14,40.06115783333333,-105.20839816666667,1595.0,0.041155555555555556,162.53,,
2021/06/25-16:46:04:70,5,2.15,40.06115833333333,-105.20839833333334,1595.0,0.06636333333333334,162.53,,
2021/06/25-16:46:04:80,5,2.15,40.061158500000005,-105.20839816666667,1595.0,0.05607444444444445,162.53,,
2021/06/25-16:46:04:90,5,2.15,40.06115883333334,-105.20839816666667,1595.0,0.10803333333333334,162.53,,
2021/06/25-16:46:05:00,5,2.15,40.06115933333333,-105.20839849999999,1595.1,0.07099333333333334,162.53,,
2021/06/25-16:46:05:10,6,2.15,40.06115916666667,-105.20839816666667,1595.1,0.03961222222222222,162.53,,
2021/06/25-16:46:05:20,6,1.64,40.06115916666667,-105.20839783333334,1595.2,0.00926,162.53,,
2021/06/25-16:46:05:30,6,1.64,40.061158999999996,-105.20839749999999,1595.2,0.020577777777777778,162.53,,
2021/06/25-16:46:05:40,6,1.64,40.061158999999996,-105.20839733333332,1595.3,0.009774444444444445,162.53,,
2021/06/25-16:46:05:50,6,1.64,40.061158999999996,-105.20839683333334,1595.3,0.04475666666666667,162.53,,
2021/06/25-16:46:05:60,6,1.64,40.06115883333334,-105.20839666666667,1595.3,0.027780000000000003,162.53,,
2021/06/25-16:46:05:70,6,1.64,40.06115883333334,-105.2083965,1595.4,0.020577777777777778,162.53,,
2021/06/25-16:46:05:80,6,1.64,40.061158666666664,-105.20839616666666,1595.4,0.012861111111111113,162.53,,
2021/06/25-16:46:05:90,6,1.64,40.061158666666664,-105.208396,1595.5,0.010288888888888889,162.53,,
2021/06/25-16:46:06:00,6,1.64,40.06115833333333,-105.20839533333334,1595.5,0.08642666666666668,162.53,,
2021/06/25-16:46:06:10,6,1.64,40.06115833333333,-105.20839516666668,1595.6,0.062247777777777784,162.53,,
2021/06/25-16:46:06:20,6,1.64,40.061158500000005,-105.20839499999998,1595.7,0.08179666666666667,162.53,,
2021/06/25-16:46:06:30,6,1.64,40.061158500000005,-105.20839483333333,1595.7,0.06327666666666668,162.53,,
2021/06/25-16:46:06:40,6,1.64,40.061158500000005,-105.2083945,1595.8,0.07665222222222222,162.53,,
2021/06/25-16:46:06:50,6,1.64,40.06115833333333,-105.20839416666668,1595.9,0.10031666666666668,162.53,,
2021/06/25-16:46:06:50,6,1.64,40.06115883333334,-105.20839416666668,1595.9,0.05401666666666667,162.53,Data Log,False
